Old Specimen ID,DNA plate,DNA plate well,Specimen ID,Label,Adductor Sample,Shell Sample,Shell Length (cm - recorded by collection team),Tallest hinge height,Shell Length (mm - recorded by HGH),Estimate for Shell Length,Extracted,Species Diagnostic (RFLP)
SS0819_001,2019-12-09 Pl1 Spisula HGH,1,GLD0819_001,1,Yes,YS,3.2,,32,32,12/9/19,S. similis
SS0819_002,2019-12-09 Pl1 Spisula HGH,2,GLD0819_002,2,Yes,P,,,,,12/9/19,S. similis
SS0819_003,2019-12-09 Pl1 Spisula HGH,3,GLD0819_003,3,Yes,YS,3.6,,36,36,12/9/19,S. similis
SS0819_004,2019-12-09 Pl1 Spisula HGH,4,GLD0819_004,4,Yes,Y,8.3,,83,83,12/9/19,S. similis
SS0819_005,2019-12-09 Pl1 Spisula HGH,5,GLD0819_005,5,Yes,YS,4.7,,47,47,12/9/19,S. similis
SS0819_006,2019-12-09 Pl1 Spisula HGH,6,GLD0819_006,6,Yes,YS,4,,40,40,12/9/19,S. similis
SS0819_007,2019-12-09 Pl1 Spisula HGH,7,GLD0819_007,7,Yes,YS,2.5,,25,25,12/9/19,S. similis
SS0819_008,2019-12-09 Pl1 Spisula HGH,8,GLD0819_008,8,Yes,YS,3,,30,30,12/9/19,S. similis
SS0819_009,2019-12-09 Pl1 Spisula HGH,9,TEST0819_009,9,Yes,YI,2.1,,21,21,12/9/19,S. similis
SS0819_010,20200124pl2,1,TEST0819_010,10,In Shell - Whole Sample Used in Extraction,In Sample Tube,1,,10,10,1/24/20,S. similis
SS0819_011,2019-12-09 Pl1 Spisula HGH,11,PEC0819_011,11,Yes,Y,5,,50,50,12/9/19,S. similis
SS0819_012,2019-12-09 Pl1 Spisula HGH,12,PEC0819_012,12,Yes,YI,5.4,,54,54,12/9/19,S. similis
SS0819_013,2019-12-09 Pl1 Spisula HGH,13,PEC0819_013,13,Yes,N,6.5,,65,65,12/9/19,S. similis
SS0819_014,2019-12-09 Pl1 Spisula HGH,14,MCX0819_014,14,Yes,Broken,6.5,,65,65,12/9/19,S. solidisima
SS0819_015,2019-12-09 Pl1 Spisula HGH,15,MCX0819_015,15,Yes,Yes,6.5,,65,65,12/9/19,S. solidisima
SS0819_016,2019-12-09 Pl1 Spisula HGH,16,MCX0819_016,16,Yes,YI,6.8,,68,68,12/9/19,S. solidisima
SS0819_017,2019-12-09 Pl1 Spisula HGH,17,MCX0819_017,17,Yes,YS,8.3,,83,83,12/9/19,S. solidisima
SS0819_018,2019-12-09 Pl1 Spisula HGH,18,MCX0819_018,18,Yes,YI,6.5,,65,65,12/9/19,S. solidisima
