Intensity Value	Number of Pixels
   56.00000	222
    0.08938	0
    0.17875	0
    0.26813	0
    0.35751	0
    0.44689	0
    0.53626	0
    0.62564	0
    0.71502	0
    0.80440	0
    0.89377	0
   57.00000	420
    1.07253	0
    1.16190	0
    1.25128	0
    1.34066	0
    1.43004	0
    1.51941	0
    1.60879	0
    1.69817	0
    1.78755	0
    1.87692	0
   58.00000	738
    2.05568	0
    2.14505	0
    2.23443	0
    2.32381	0
    2.41319	0
    2.50256	0
    2.59194	0
    2.68132	0
    2.77070	0
    2.86007	0
   59.00000	1253
    3.03883	0
    3.12821	0
    3.21758	0
    3.30696	0
    3.39634	0
    3.48571	0
    3.57509	0
    3.66447	0
    3.75385	0
    3.84322	0
   60.00000	2042
    4.02198	0
    4.11136	0
    4.20073	0
    4.29011	0
    4.37949	0
    4.46886	0
    4.55824	0
    4.64762	0
    4.73700	0
    4.82637	0
   61.00000	3241
    5.00513	0
    5.09451	0
    5.18388	0
    5.27326	0
    5.36264	0
    5.45201	0
    5.54139	0
    5.63077	0
    5.72015	0
    5.80952	0
    5.89890	0
   62.00000	4844
    6.07766	0
    6.16703	0
    6.25641	0
    6.34579	0
    6.43516	0
    6.52454	0
    6.61392	0
    6.70330	0
    6.79267	0
    6.88205	0
   63.00000	7014
    7.06081	0
    7.15018	0
    7.23956	0
    7.32894	0
    7.41832	0
    7.50769	0
    7.59707	0
    7.68645	0
    7.77582	0
    7.86520	0
   64.00000	9691
    8.04396	0
    8.13333	0
    8.22271	0
    8.31209	0
    8.40147	0
    8.49084	0
    8.58022	0
    8.66960	0
    8.75897	0
    8.84835	0
   65.00000	13097
    9.02711	0
    9.11648	0
    9.20586	0
    9.29524	0
    9.38462	0
    9.47399	0
    9.56337	0
    9.65275	0
    9.74212	0
    9.83150	0
   66.00000	16733
   10.01026	0
   10.09963	0
   10.18901	0
   10.27839	0
   10.36777	0
   10.45714	0
   10.54652	0
   10.63590	0
   10.72527	0
   10.81465	0
   10.90403	0
   67.00000	19625
   11.08278	0
   11.17216	0
   11.26154	0
   11.35092	0
   11.44029	0
   11.52967	0
   11.61905	0
   11.70842	0
   11.79780	0
   11.88718	0
   68.00000	21917
   12.06593	0
   12.15531	0
   12.24469	0
   12.33407	0
   12.42344	0
   12.51282	0
   12.60220	0
   12.69158	0
   12.78095	0
   12.87033	0
   69.00000	24374
   13.04908	0
   13.13846	0
   13.22784	0
   13.31722	0
   13.40659	0
   13.49597	0
   13.58535	0
   13.67473	0
   13.76410	0
   13.85348	0
   70.00000	26380
   14.03223	0
   14.12161	0
   14.21099	0
   14.30037	0
   14.38974	0
   14.47912	0
   14.56850	0
   14.65788	0
   14.74725	0
   14.83663	0
   71.00000	26251
   15.01538	0
   15.10476	0
   15.19414	0
   15.28352	0
   15.37289	0
   15.46227	0
   15.55165	0
   15.64103	0
   15.73040	0
   15.81978	0
   15.90916	0
   72.00000	25320
   16.08791	0
   16.17729	0
   16.26667	0
   16.35604	0
   16.44542	0
   16.53480	0
   16.62418	0
   16.71355	0
   16.80293	0
   16.89231	0
   73.00000	23327
   17.07106	0
   17.16044	0
   17.24982	0
   17.33919	0
   17.42857	0
   17.51795	0
   17.60733	0
   17.69670	0
   17.78608	0
   17.87546	0
   74.00000	20633
   18.05421	0
   18.14359	0
   18.23297	0
   18.32234	0
   18.41172	0
   18.50110	0
   18.59048	0
   18.67985	0
   18.76923	0
   18.85861	0
   75.00000	17994
   19.03736	0
   19.12674	0
   19.21612	0
   19.30549	0
   19.39487	0
   19.48425	0
   19.57363	0
   19.66300	0
   19.75238	0
   19.84176	0
   76.00000	15918
   20.02051	0
   20.10989	0
   20.19927	0
   20.28864	0
   20.37802	0
   20.46740	0
   20.55678	0
   20.64615	0
   20.73553	0
   20.82491	0
   77.00000	13871
   21.00366	0
   21.09304	0
   21.18242	0
   21.27179	0
   21.36117	0
   21.45055	0
   21.53993	0
   21.62930	0
   21.71868	0
   21.80806	0
   21.89744	0
   78.00000	11976
   22.07619	0
   22.16557	0
   22.25495	0
   22.34432	0
   22.43370	0
   22.52308	0
   22.61245	0
   22.70183	0
   22.79121	0
   22.88059	0
   79.00000	10183
   23.05934	0
   23.14872	0
   23.23810	0
   23.32747	0
   23.41685	0
   23.50623	0
   23.59560	0
   23.68498	0
   23.77436	0
   23.86374	0
   80.00000	8737
   24.04249	0
   24.13187	0
   24.22125	0
   24.31062	0
   24.40000	0
   24.48938	0
   24.57875	0
   24.66813	0
   24.75751	0
   24.84689	0
   81.00000	7591
   25.02564	0
   25.11502	0
   25.20440	0
   25.29377	0
   25.38315	0
   25.47253	0
   25.56190	0
   25.65128	0
   25.74066	0
   25.83004	0
   82.00000	6523
   26.00879	0
   26.09817	0
   26.18755	0
   26.27692	0
   26.36630	0
   26.45568	0
   26.54505	0
   26.63443	0
   26.72381	0
   26.81319	0
   26.90256	0
   83.00000	5856
   27.08132	0
   27.17070	0
   27.26007	0
   27.34945	0
   27.43883	0
   27.52821	0
   27.61758	0
   27.70696	0
   27.79634	0
   27.88571	0
   84.00000	4984
   28.06447	0
   28.15385	0
   28.24322	0
   28.33260	0
   28.42198	0
   28.51136	0
   28.60073	0
   28.69011	0
   28.77949	0
   28.86886	0
   85.00000	4461
   29.04762	0
   29.13700	0
   29.22637	0
   29.31575	0
   29.40513	0
   29.49451	0
   29.58388	0
   29.67326	0
   29.76264	0
   29.85201	0
   86.00000	4013
   30.03077	0
   30.12015	0
   30.20952	0
   30.29890	0
   30.38828	0
   30.47766	0
   30.56703	0
   30.65641	0
   30.74579	0
   30.83516	0
   87.00000	3511
   31.01392	0
   31.10330	0
   31.19267	0
   31.28205	0
   31.37143	0
   31.46081	0
   31.55018	0
   31.63956	0
   31.72894	0
   31.81832	0
   31.90769	0
   88.00000	3344
   32.08645	0
   32.17582	0
   32.26520	0
   32.35458	0
   32.44396	0
   32.53333	0
   32.62271	0
   32.71209	0
   32.80147	0
   32.89084	0
   89.00000	2995
   33.06960	0
   33.15897	0
   33.24835	0
   33.33773	0
   33.42711	0
   33.51648	0
   33.60586	0
   33.69524	0
   33.78462	0
   33.87399	0
   90.00000	2636
   34.05275	0
   34.14212	0
   34.23150	0
   34.32088	0
   34.41026	0
   34.49963	0
   34.58901	0
   34.67839	0
   34.76777	0
   34.85714	0
   91.00000	2315
   35.03590	0
   35.12527	0
   35.21465	0
   35.30403	0
   35.39341	0
   35.48278	0
   35.57216	0
   35.66154	0
   35.75092	0
   35.84029	0
   92.00000	2188
   36.01905	0
   36.10842	0
   36.19780	0
   36.28718	0
   36.37656	0
   36.46593	0
   36.55531	0
   36.64469	0
   36.73407	0
   36.82344	0
   93.00000	1970
   37.00220	0
   37.09158	0
   37.18095	0
   37.27033	0
   37.35971	0
   37.44908	0
   37.53846	0
   37.62784	0
   37.71722	0
   37.80659	0
   37.89597	0
   94.00000	1807
   38.07473	0
   38.16410	0
   38.25348	0
   38.34286	0
   38.43223	0
   38.52161	0
   38.61099	0
   38.70037	0
   38.78974	0
