Intensity Value	Number of Pixels
  163.00000	72
    0.21001	0
    0.42002	0
    0.63004	0
  164.00000	83
    1.05006	0
    1.26007	0
    1.47009	0
    1.68010	0
  165.00000	99
    2.10012	0
    2.31013	0
    2.52015	0
    2.73016	0
  166.00000	90
    3.15018	0
    3.36020	0
    3.57021	0
    3.78022	0
  167.00000	115
    4.20024	0
    4.41026	0
    4.62027	0
  168.00000	89
    5.04029	0
    5.25031	0
    5.46032	0
    5.67033	0
  169.00000	103
    6.09035	0
    6.30037	0
    6.51038	0
    6.72039	0
  170.00000	105
    7.14042	0
    7.35043	0
    7.56044	0
    7.77045	0
  171.00000	121
    8.19048	0
    8.40049	0
    8.61050	0
  172.00000	112
    9.03053	0
    9.24054	0
    9.45055	0
    9.66056	0
  173.00000	108
   10.08059	0
   10.29060	0
   10.50061	0
   10.71062	0
  174.00000	132
   11.13065	0
   11.34066	0
   11.55067	0
   11.76068	0
  175.00000	119
   12.18071	0
   12.39072	0
   12.60073	0
  176.00000	156
   13.02076	0
   13.23077	0
   13.44078	0
   13.65079	0
  177.00000	160
   14.07082	0
   14.28083	0
   14.49084	0
   14.70085	0
  178.00000	175
   15.12088	0
   15.33089	0
   15.54090	0
   15.75092	0
  179.00000	181
   16.17094	0
   16.38095	0
   16.59096	0
  180.00000	198
   17.01099	0
   17.22100	0
   17.43101	0
   17.64103	0
  181.00000	205
   18.06105	0
   18.27106	0
   18.48107	0
   18.69109	0
  182.00000	253
   19.11111	0
   19.32112	0
   19.53114	0
   19.74115	0
  183.00000	277
   20.16117	0
   20.37118	0
   20.58120	0
  184.00000	278
   21.00122	0
   21.21123	0
   21.42125	0
   21.63126	0
  185.00000	348
   22.05128	0
   22.26129	0
   22.47131	0
   22.68132	0
  186.00000	365
   23.10134	0
   23.31136	0
   23.52137	0
   23.73138	0
  187.00000	389
   24.15140	0
   24.36142	0
   24.57143	0
   24.78144	0
  188.00000	390
   25.20147	0
   25.41148	0
   25.62149	0
  189.00000	404
   26.04151	0
   26.25153	0
   26.46154	0
   26.67155	0
  190.00000	409
   27.09158	0
   27.30159	0
   27.51160	0
   27.72161	0
  191.00000	421
   28.14164	0
   28.35165	0
   28.56166	0
   28.77167	0
  192.00000	440
   29.19170	0
   29.40171	0
   29.61172	0
  193.00000	404
   30.03175	0
   30.24176	0
   30.45177	0
   30.66178	0
  194.00000	438
   31.08181	0
   31.29182	0
   31.50183	0
   31.71184	0
  195.00000	438
   32.13187	0
   32.34188	0
   32.55189	0
   32.76190	0
  196.00000	421
   33.18193	0
   33.39194	0
   33.60195	0
  197.00000	447
   34.02198	0
   34.23199	0
   34.44200	0
   34.65201	0
  198.00000	457
   35.07204	0
   35.28205	0
   35.49206	0
   35.70208	0
  199.00000	531
   36.12210	0
   36.33211	0
   36.54212	0
   36.75214	0
  200.00000	562
   37.17216	0
   37.38217	0
   37.59219	0
  201.00000	568
   38.01221	0
   38.22222	0
   38.43223	0
   38.64225	0
  202.00000	600
   39.06227	0
   39.27228	0
   39.48230	0
   39.69231	0
  203.00000	647
   40.11233	0
