---------- 1: r2b_g1 ----------
Offset(%)	Offset(pix)	Profile	Background
0.0000	0	70.0000	70.0000
0.2096	1	70.0000	69.6818
0.4193	2	70.0000	69.3636
0.6289	3	71.0000	69.0455
0.8386	4	70.0000	68.7273
1.0482	5	69.0000	68.4091
1.2579	6	69.0000	68.0909
1.4675	7	70.0000	67.7727
1.6771	8	71.0000	67.4545
1.8868	9	71.0000	67.1364
2.0964	10	70.0000	66.8182
2.3061	11	70.0000	66.5000
2.5157	12	69.0000	66.1818
2.7254	13	67.0000	65.8636
2.9350	14	65.0000	65.5455
3.1447	15	65.0000	65.2273
3.3543	16	71.0000	64.9091
3.5639	17	74.0000	64.5909
3.7736	18	70.0000	64.2727
3.9832	19	70.0000	63.9545
4.1929	20	68.0000	63.6364
4.4025	21	65.0000	63.3182
4.6122	22	63.0000	63.0000
4.8218	23	63.0000	63.3824
5.0314	24	64.0000	63.7647
5.2411	25	67.0000	64.1471
5.4507	26	78.0000	64.5294
5.6604	27	80.0000	64.9118
5.8700	28	87.0000	65.2941
6.0797	29	76.0000	65.6765
6.2893	30	68.0000	66.0588
6.4990	31	66.0000	66.4412
6.7086	32	68.0000	66.8235
6.9182	33	69.0000	67.2059
7.1279	34	71.0000	67.5882
7.3375	35	72.0000	67.9706
7.5472	36	77.0000	68.3529
7.7568	37	81.0000	68.7353
7.9665	38	85.0000	69.1176
8.1761	39	80.0000	69.5000
8.3857	40	78.0000	69.8824
8.5954	41	78.0000	70.2647
8.8050	42	78.0000	70.6471
9.0147	43	77.0000	71.0294
9.2243	44	75.0000	71.4118
9.4340	45	76.0000	71.7941
9.6436	46	75.0000	72.1765
9.8532	47	76.0000	72.5588
10.0629	48	75.0000	72.9412
10.2725	49	75.0000	73.3235
10.4822	50	74.0000	73.7059
10.6918	51	76.0000	74.0882
10.9015	52	75.0000	74.4706
11.1111	53	77.0000	74.8529
11.3208	54	75.0000	75.2353
11.5304	55	75.0000	75.6176
11.7400	56	76.0000	76.0000
11.9497	57	76.0000	75.9560
12.1593	58	75.0000	75.9121
12.3690	59	76.0000	75.8681
12.5786	60	75.0000	75.8242
12.7883	61	75.0000	75.7802
12.9979	62	77.0000	75.7363
13.2075	63	77.0000	75.6923
13.4172	64	76.0000	75.6484
13.6268	65	77.0000	75.6044
13.8365	66	77.0000	75.5604
14.0461	67	77.0000	75.5165
14.2558	68	77.0000	75.4725
14.4654	69	77.0000	75.4286
14.6751	70	80.0000	75.3846
14.8847	71	80.0000	75.3407
15.0943	72	81.0000	75.2967
15.3040	73	80.0000	75.2527
15.5136	74	82.0000	75.2088
15.7233	75	83.0000	75.1648
15.9329	76	86.0000	75.1209
