DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	1	30584	5.083118	0	0.000000
DP	0	2	28941	4.810048	0	0.000000
DP	0	3	25644	4.262080	0	0.000000
DP	0	4	23088	3.837268	0	0.000000
DP	0	5	20872	3.468965	0	0.000000
DP	0	6	18949	3.149359	0	0.000000
DP	0	7	17136	2.848035	0	0.000000
DP	0	8	15514	2.578456	51	0.059334
DP	0	9	14306	2.377684	111	0.129139
DP	0	10	13364	2.221122	152	0.176839
DP	0	11	12484	2.074864	192	0.223375
DP	0	12	11689	1.942733	177	0.205924
DP	0	13	11058	1.837860	218	0.253624
DP	0	14	10200	1.695259	247	0.287363
DP	0	15	9899	1.645232	266	0.309468
DP	0	16	9123	1.516260	263	0.305978
DP	0	17	8561	1.422854	275	0.319939
DP	0	18	8212	1.364850	299	0.347860
DP	0	19	7743	1.286901	344	0.400214
DP	0	20	7456	1.239201	345	0.401377
DP	0	21	6937	1.152942	388	0.451404
DP	0	22	6661	1.107071	337	0.392070
DP	0	23	6280	1.043748	377	0.438607
DP	0	24	5938	0.986907	398	0.463038
DP	0	25	5716	0.950010	383	0.445587
DP	0	26	5458	0.907130	358	0.416502
DP	0	27	5398	0.897158	440	0.511902
DP	0	28	5020	0.834333	432	0.502594
DP	0	29	4909	0.815885	411	0.478163
DP	0	30	4680	0.777825	370	0.430463
DP	0	31	4490	0.746246	428	0.497941
DP	0	32	4298	0.714336	416	0.483980
DP	0	33	4259	0.707854	441	0.513065
DP	0	34	4096	0.680763	408	0.474672
DP	0	35	3885	0.645694	439	0.510738
DP	0	36	3870	0.643201	399	0.464202
DP	0	37	3734	0.620598	410	0.476999
DP	0	38	3603	0.598825	385	0.447914
DP	0	39	3493	0.580543	399	0.464202
DP	0	40	3478	0.578050	378	0.439770
DP	0	41	3348	0.556444	398	0.463038
DP	0	42	3193	0.530683	377	0.438607
DP	0	43	3041	0.505420	393	0.457221
