Location,Year,Species,Samples,Lat,Lon
Nantucket Shoals,2020,S. solidissima,50,40.8183333,-70.05666667
Fenwick Island,2020,S. solidissima,51,38.46,-74.9
George's Bank East,2019,S. solidissima,50,41.6,-66.6
Mecox Bay,2019,S. solidissima,84,40.88795364,-72.32883361
Shinnicock,2019,S. solidissima,81,40.83852153,-72.46434518
Bellport,2019,S. solidissima,65,40.71852964,-72.89252574
Cupsogue,2019,S. solidissima,160,40.75505421,-72.76157602
Goldsmith Inlet,2019,S. similis,8,41.06932428,-72.46981521
RP-20 LIS,2019,S. similis,2,40.9887182,-72.70327603
Peconic Bay,2019,S. similis,3,41.0371941,-72.1874128
Buzzards Bay,2017,S. solidissima,20,41.49073,-71.05343
Cape Cod Bay,2017,S. solidissima,5,41.770141,-70.113109
Nantucket Sound,2017,S. solidissima,1,41.670604,-70.016384
Nantucket Sound,2017,S. similis,9,41.670604,-70.016384
Provincetown Harbor,2017,S. solidissima,10,42.060706,-70.159156
Chase Garden Creek,2017,S. solidissima,11,41.723891,-70.236156
Plymouth Bay,2017,S. solidissima,10,41.983005,-70.651725
Barnstable Harbor,2017,S. solidissima,10,41.717159,-70.280191
Eel Pond,2017,S. similis,10,41.55453,-70.5482
West Falmouth Harbor,2017,S. similis,8,41.60661,-70.65066
Popponesset Bay,2017,S. similis,6,41.58818,-70.44906
Provincetown,2012,S. solidissima,20,42.04,-70.15
Long Island Shelf,2012,S. solidissima,78,40.77214631,-72.6623754
Washburn Island,2012,S. similis,67,41.546132,-70.529842
Georgia,2012,S. similis,25,31.7,-80.9
