# DP, Depth distribution
# DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	1	1213121	6.761222	0	0.000000
DP	0	2	1123817	6.263494	7719	0.274141
DP	0	3	905827	5.048546	15188	0.539403
DP	0	4	775941	4.324638	20370	0.723443
DP	0	5	683847	3.811361	23311	0.827892
DP	0	6	612109	3.411535	24493	0.869871
DP	0	7	553187	3.083139	24303	0.863123
DP	0	8	502322	2.799647	23637	0.839470
DP	0	9	460001	2.563775	22361	0.794153
DP	0	10	423341	2.359453	21741	0.772134
DP	0	11	390669	2.177359	21040	0.747238
DP	0	12	364676	2.032489	20356	0.722945
DP	0	13	339325	1.891198	19566	0.694888
DP	0	14	317265	1.768248	19733	0.700819
DP	0	15	297826	1.659907	19170	0.680824
DP	0	16	279381	1.557105	18788	0.667258
DP	0	17	262794	1.464659	18404	0.653620
DP	0	18	248397	1.384419	17955	0.637674
DP	0	19	234691	1.308029	18027	0.640231
DP	0	20	222336	1.239170	18083	0.642219
DP	0	21	210230	1.171698	17686	0.628120
DP	0	22	200695	1.118556	17258	0.612920
DP	0	23	190550	1.062014	17294	0.614198
DP	0	24	182414	1.016668	16886	0.599708
DP	0	25	173672	0.967945	16853	0.598536
DP	0	26	165639	0.923174	16434	0.583655
DP	0	27	159012	0.886239	16604	0.589693
DP	0	28	152273	0.848680	16156	0.573782
DP	0	29	145582	0.811388	15895	0.564512
DP	0	30	140481	0.782958	15817	0.561742
DP	0	31	133620	0.744719	15781	0.560464
DP	0	32	129756	0.723184	15536	0.551763
DP	0	33	124332	0.692953	15448	0.548637
DP	0	34	120444	0.671284	15165	0.538586
DP	0	35	115440	0.643395	15069	0.535177
DP	0	36	111862	0.623453	14858	0.527683
DP	0	37	107877	0.601243	14888	0.528749
DP	0	38	104098	0.580181	14471	0.513939
DP	0	39	100704	0.561265	14195	0.504137
DP	0	40	97133	0.541362	14019	0.497886
DP	0	41	90459	0.504165	13880	0.492950
DP	0	42	87409	0.487166	13778	0.489327
DP	0	43	85298	0.475401	13452	0.477749
DP	0	44	81915	0.456546	13546	0.481088
DP	0	45	79202	0.441425	13186	0.468302
DP	0	46	76730	0.427648	13068	0.464111
DP	0	47	74244	0.413792	12912	0.458571
DP	0	48	72067	0.401659	12832	0.455730
DP	0	49	70305	0.391839	12789	0.454203
DP	0	50	68534	0.381968	12351	0.438647
DP	0	51	66456	0.370387	12337	0.438150
DP	0	52	64027	0.356849	12163	0.431970
DP	0	53	62728	0.349609	12110	0.430088
DP	0	54	60737	0.338512	12039	0.427566
DP	0	55	58807	0.327756	11780	0.418368
DP	0	56	57408	0.319958	11723	0.416343
DP	0	57	55617	0.309976	11421	0.405618
DP	0	58	54448	0.303461	11289	0.400930
DP	0	59	52984	0.295302	11423	0.405689
DP	0	60	51356	0.286228	11489	0.408033
DP	0	61	49945	0.278364	10998	0.390595
DP	0	62	48630	0.271035	11021	0.391412
DP	0	63	47219	0.263171	10988	0.390240
DP	0	64	46017	0.256472	10788	0.383137
DP	0	65	45059	0.251132	10639	0.377845
DP	0	66	44511	0.248078	10450	0.371133
DP	0	67	42752	0.238274	10458	0.371417
DP	0	68	42056	0.234395	10489	0.372518
DP	0	69	40764	0.227195	10064	0.357424
