QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0	371055	184596	173072	22257
QUAL	0	1	20778	10794	9225	1574
QUAL	0	2	15207	7842	6805	1221
QUAL	0	3	12175	6451	5453	932
QUAL	0	4	11634	6079	5374	782
QUAL	0	5	12155	6329	5625	833
QUAL	0	6	11326	5929	5263	735
QUAL	0	7	11629	6182	5286	735
QUAL	0	8	12072	6245	5658	760
QUAL	0	9	11558	6075	5330	788
QUAL	0	10	10921	5773	4989	737
QUAL	0	11	11773	6133	5476	782
QUAL	0	12	9820	5011	4654	730
QUAL	0	13	11497	6054	5296	776
QUAL	0	14	10830	5601	5041	801
QUAL	0	15	9683	5039	4462	674
QUAL	0	16	8492	4350	3944	655
QUAL	0	17	7258	3803	3275	627
QUAL	0	18	6508	3390	2933	633
QUAL	0	19	6147	3205	2745	610
QUAL	0	20	7361	3854	3316	626
QUAL	0	21	6355	3289	2897	561
QUAL	0	22	6415	3406	2830	587
QUAL	0	23	6604	3394	3029	554
QUAL	0	24	7853	4084	3574	566
QUAL	0	25	6544	3400	2952	603
QUAL	0	26	7404	3852	3360	562
QUAL	0	27	7364	3851	3298	546
QUAL	0	28	6782	3528	3087	502
QUAL	0	29	6841	3544	3086	562
QUAL	0	30	9426	4954	4278	530
QUAL	0	31	6741	3502	3055	557
QUAL	0	32	6563	3406	2965	540
QUAL	0	33	6892	3583	3121	610
QUAL	0	34	6316	3323	2802	497
QUAL	0	35	6318	3299	2840	556
QUAL	0	36	6833	3560	3082	496
QUAL	0	37	6396	3258	2923	493
QUAL	0	38	5645	2904	2545	448
QUAL	0	39	5319	2716	2415	430
QUAL	0	40	5269	2738	2319	447
QUAL	0	41	5329	2676	2472	410
QUAL	0	42	5314	2744	2359	452
QUAL	0	43	5162	2682	2276	392
QUAL	0	44	5116	2616	2276	419
QUAL	0	45	5081	2587	2276	412
QUAL	0	46	5587	2886	2511	450
QUAL	0	47	5141	2621	2315	392
QUAL	0	48	5014	2627	2189	390
QUAL	0	49	5002	2564	2232	375
QUAL	0	50	6366	3315	2836	468
QUAL	0	51	5300	2682	2415	413
QUAL	0	52	5591	2936	2447	424
QUAL	0	53	5187	2643	2345	384
QUAL	0	54	4984	2581	2206	371
QUAL	0	55	4874	2478	2185	373
QUAL	0	56	7835	4069	3560	546
QUAL	0	57	5157	2672	2272	351
QUAL	0	58	4600	2372	2034	378
QUAL	0	59	4571	2314	2067	373
QUAL	0	60	5631	2840	2604	398
QUAL	0	61	4628	2367	2032	359
QUAL	0	62	4621	2329	2085	376
QUAL	0	63	4465	2270	1999	374
QUAL	0	64	4285	2198	1891	339
QUAL	0	65	4694	2457	2035	325
QUAL	0	66	4348	2252	1898	341
QUAL	0	67	4111	2030	1867	332
QUAL	0	68	3955	1987	1777	310
QUAL	0	69	4024	2047	1754	356
QUAL	0	70	4060	2092	1758	322
QUAL	0	71	4181	2137	1848	315
QUAL	0	72	3880	1967	1696	321
QUAL	0	73	4080	2044	1826	331
QUAL	0	74	4052	2026	1829	336
QUAL	0	75	4004	2014	1789	349
QUAL	0	76	3779	1916	1661	327
QUAL	0	77	4289	2209	1890	320
QUAL	0	78	3914	1994	1730	277
QUAL	0	79	3898	1935	1755	297
QUAL	0	80	3748	1885	1645	309
QUAL	0	81	4038	2084	1757	313
QUAL	0	82	3942	1961	1781	291
QUAL	0	83	4163	2102	1872	317
QUAL	0	84	3702	1886	1615	282
QUAL	0	85	3713	1899	1617	283
QUAL	0	86	4948	2514	2251	363
QUAL	0	87	3842	1927	1701	297
QUAL	0	88	3438	1749	1487	282
QUAL	0	89	3806	1912	1707	273
QUAL	0	90	3614	1803	1605	297
QUAL	0	91	3927	2014	1702	334
QUAL	0	92	3304	1691	1454	250
QUAL	0	93	3658	1898	1560	269
QUAL	0	94	3574	1785	1574	259
QUAL	0	95	3369	1762	1450	266
QUAL	0	96	3455	1725	1525	284
QUAL	0	97	3628	1836	1616	278
QUAL	0	98	3199	1568	1447	248
QUAL	0	99	3297	1647	1446	241
QUAL	0	100	3265	1694	1374	275
QUAL	0	101	3321	1685	1422	274
QUAL	0	102	3238	1648	1364	252
QUAL	0	103	3290	1740	1391	247
QUAL	0	104	3152	1579	1409	241
QUAL	0	105	3182	1598	1369	275
QUAL	0	106	3198	1585	1416	268
QUAL	0	107	3118	1597	1328	241
QUAL	0	108	3174	1597	1406	234
QUAL	0	109	3089	1591	1319	232
QUAL	0	110	3045	1551	1326	211
QUAL	0	111	3084	1553	1330	227
QUAL	0	112	3217	1628	1415	235
QUAL	0	113	2896	1434	1285	222
QUAL	0	114	2857	1426	1268	268
QUAL	0	115	3128	1567	1385	235
QUAL	0	116	3221	1648	1408	228
QUAL	0	117	2924	1479	1267	228
QUAL	0	118	2918	1492	1237	213
QUAL	0	119	3013	1568	1251	236
QUAL	0	120	3120	1590	1356	226
QUAL	0	121	2910	1448	1295	216
QUAL	0	122	2630	1312	1169	228
QUAL	0	123	2895	1484	1215	232
QUAL	0	124	3133	1581	1356	230
QUAL	0	125	2784	1409	1196	174
QUAL	0	126	2698	1328	1184	194
QUAL	0	127	2843	1441	1220	233
QUAL	0	128	2746	1395	1185	240
QUAL	0	129	2654	1331	1143	197
QUAL	0	130	2705	1360	1170	232
QUAL	0	131	2766	1397	1193	208
QUAL	0	132	2571	1295	1114	205
QUAL	0	133	2702	1319	1186	207
QUAL	0	134	2632	1359	1111	209
QUAL	0	135	2536	1320	1036	207
QUAL	0	136	2594	1327	1090	215
QUAL	0	137	2566	1268	1113	191
QUAL	0	138	2502	1241	1087	224
QUAL	0	139	2585	1301	1121	206
QUAL	0	140	2516	1246	1086	183
QUAL	0	141	2516	1253	1117	203
QUAL	0	142	2465	1234	1061	189
QUAL	0	143	2645	1314	1154	196
QUAL	0	144	2393	1196	1019	185
QUAL	0	145	2440	1199	1050	185
QUAL	0	146	2474	1223	1081	218
QUAL	0	147	2522	1275	1087	189
QUAL	0	148	2324	1170	1008	181
QUAL	0	149	2373	1189	1013	185
QUAL	0	150	2614	1340	1097	220
QUAL	0	151	2449	1210	1079	185
QUAL	0	152	2309	1107	1028	152
QUAL	0	153	2356	1158	1021	190
QUAL	0	154	2418	1200	1051	175
QUAL	0	155	2278	1127	1004	193
QUAL	0	156	2216	1120	957	164
QUAL	0	157	2343	1177	1007	162
QUAL	0	158	2415	1243	1020	186
QUAL	0	159	2305	1177	931	183
QUAL	0	160	2286	1157	979	173
QUAL	0	161	2260	1125	971	146
QUAL	0	162	2255	1137	938	182
QUAL	0	163	2225	1088	984	185
QUAL	0	164	2232	1136	936	175
QUAL	0	165	2191	1082	960	157
QUAL	0	166	2195	1100	910	192
QUAL	0	167	2143	1066	919	160
QUAL	0	168	2204	1086	954	177
QUAL	0	169	2098	1011	913	139
QUAL	0	170	2162	1075	924	198
QUAL	0	171	2054	1027	872	153
QUAL	0	172	2118	1049	902	171
QUAL	0	173	2024	1010	855	145
QUAL	0	174	2106	1086	848	174
QUAL	0	175	2078	996	932	169
QUAL	0	176	2074	999	912	170
QUAL	0	177	2093	1060	900	153
QUAL	0	178	2062	1072	855	152
QUAL	0	179	2053	989	890	149
QUAL	0	180	2030	976	875	174
QUAL	0	181	2037	1008	878	147
QUAL	0	182	1985	1014	824	156
QUAL	0	183	1993	960	879	150
QUAL	0	184	1972	1007	817	155
QUAL	0	185	2000	1008	845	150
QUAL	0	186	2075	1041	884	163
QUAL	0	187	1962	982	830	162
QUAL	0	188	1998	960	886	148
QUAL	0	189	1966	1004	813	147
QUAL	0	190	1994	1008	819	141
QUAL	0	191	2007	970	871	158
QUAL	0	192	1956	971	818	138
QUAL	0	193	1960	964	827	142
QUAL	0	194	1823	871	833	133
QUAL	0	195	1857	907	792	146
QUAL	0	196	1896	928	827	130
QUAL	0	197	1913	979	789	123
QUAL	0	198	1926	961	821	151
QUAL	0	199	1895	886	846	161
QUAL	0	200	1845	912	783	143
QUAL	0	201	1821	883	797	137
QUAL	0	202	1803	900	765	135
QUAL	0	203	1764	877	746	133
QUAL	0	204	1849	901	799	157
QUAL	0	205	1820	934	741	138
QUAL	0	206	1788	862	781	153
QUAL	0	207	1753	876	730	143
QUAL	0	208	1844	949	749	130
QUAL	0	209	1767	874	733	144
QUAL	0	210	1755	860	758	148
QUAL	0	211	1824	911	777	128
QUAL	0	212	1808	882	763	146
QUAL	0	213	1688	800	749	133
QUAL	0	214	1717	842	722	132
QUAL	0	215	1836	885	774	134
QUAL	0	216	1660	827	695	151
QUAL	0	217	1703	852	704	133
QUAL	0	218	1811	847	793	126
QUAL	0	219	1723	813	785	137
QUAL	0	220	1682	837	696	132
QUAL	0	221	1710	839	714	125
QUAL	0	222	1698	860	674	142
QUAL	0	223	1679	838	712	132
QUAL	0	224	1668	882	669	126
QUAL	0	225	1693	818	715	143
QUAL	0	226	1666	832	690	144
QUAL	0	227	1637	815	686	137
QUAL	0	228	1672	815	714	124
QUAL	0	229	1694	838	723	130
QUAL	0	230	1629	801	686	126
QUAL	0	231	1619	792	671	134
QUAL	0	232	1574	785	659	127
QUAL	0	233	1645	838	691	138
QUAL	0	234	1567	782	648	127
QUAL	0	235	1555	721	673	112
QUAL	0	236	1605	807	667	110
QUAL	0	237	1586	804	660	132
QUAL	0	238	1551	762	646	126
QUAL	0	239	1561	784	639	114
QUAL	0	240	1595	788	669	125
QUAL	0	241	1491	720	621	120
QUAL	0	242	1651	841	686	118
QUAL	0	243	1528	760	649	126
QUAL	0	244	1492	702	663	113
QUAL	0	245	1506	767	621	104
QUAL	0	246	1513	760	624	118
QUAL	0	247	1534	750	652	111
QUAL	0	248	1489	718	637	110
QUAL	0	249	1552	746	692	111
QUAL	0	250	1454	698	645	118
QUAL	0	251	1556	802	615	128
QUAL	0	252	1541	713	687	134
QUAL	0	253	1519	768	618	140
QUAL	0	254	1489	689	663	100
QUAL	0	255	1434	677	622	131
QUAL	0	256	1449	680	627	97
QUAL	0	257	1477	716	646	97
QUAL	0	258	1412	678	594	125
QUAL	0	259	1504	704	663	122
QUAL	0	260	1431	668	617	111
QUAL	0	261	1507	737	647	100
QUAL	0	262	1358	687	538	122
QUAL	0	263	1497	730	640	116
QUAL	0	264	1397	701	570	110
QUAL	0	265	1356	673	566	114
QUAL	0	266	1436	704	622	131
QUAL	0	267	1439	717	607	107
QUAL	0	268	1480	730	647	115
QUAL	0	269	1367	680	571	127
QUAL	0	270	1360	673	560	111
QUAL	0	271	1413	668	609	115
QUAL	0	272	1424	700	601	115
QUAL	0	273	1384	656	610	104
QUAL	0	274	1394	689	562	110
QUAL	0	275	1429	719	593	123
QUAL	0	276	1454	726	598	123
QUAL	0	277	1352	635	574	115
QUAL	0	278	1320	647	556	118
QUAL	0	279	1407	708	562	94
QUAL	0	280	1406	742	537	104
QUAL	0	281	1363	730	521	98
QUAL	0	282	1350	650	578	112
QUAL	0	283	1411	664	619	125
QUAL	0	284	1350	674	562	108
QUAL	0	285	1322	650	536	109
QUAL	0	286	1334	683	541	82
QUAL	0	287	1294	654	522	118
QUAL	0	288	1304	611	560	84
QUAL	0	289	1397	690	572	89
QUAL	0	290	1320	656	543	96
QUAL	0	291	1294	653	522	95
QUAL	0	292	1321	658	552	76
QUAL	0	293	1310	630	557	103
QUAL	0	294	1313	670	510	105
QUAL	0	295	1321	618	565	104
QUAL	0	296	1315	608	589	100
QUAL	0	297	1335	659	554	97
