DP	[2]id	[3]bin	[4]number of genotypes	[5]fraction of genotypes (%)	[6]number of sites	[7]fraction of sites (%)
DP	0	1	253324	17.728578	0	0.000000
DP	0	2	233400	16.334220	14036	5.299604
DP	0	3	152914	10.701504	14202	5.362281
DP	0	4	120461	8.430319	13829	5.221446
DP	0	5	103413	7.237235	12866	4.857844
DP	0	6	89240	6.245355	10852	4.097414
DP	0	7	79430	5.558814	9747	3.680196
DP	0	8	87761	6.141849	8823	3.331320
DP	0	9	40311	2.821117	7712	2.911837
DP	0	10	30958	2.166559	6933	2.617708
DP	0	11	26380	1.846173	6136	2.316783
DP	0	12	22092	1.546082	5754	2.172551
DP	0	13	19572	1.369723	5197	1.962243
DP	0	14	17886	1.251730	5083	1.919200
DP	0	15	15792	1.105184	4779	1.804418
DP	0	16	14076	0.985092	4272	1.612988
DP	0	17	11986	0.838826	4046	1.527657
DP	0	18	10845	0.758974	3762	1.420427
DP	0	19	9549	0.668275	3746	1.414386
DP	0	20	8684	0.607739	3328	1.256560
DP	0	21	7569	0.529707	3538	1.335850
DP	0	22	6464	0.452375	3445	1.300736
DP	0	23	6044	0.422982	3181	1.201057
DP	0	24	5237	0.366505	3097	1.169341
DP	0	25	4706	0.329344	2977	1.124032
DP	0	26	3897	0.272727	2870	1.083632
DP	0	27	3742	0.261879	2718	1.026241
DP	0	28	3428	0.239904	2722	1.027752
DP	0	29	3123	0.218559	2472	0.933359
DP	0	30	2985	0.208902	2425	0.915613
DP	0	31	2664	0.186437	2455	0.926940
DP	0	32	2263	0.158373	2157	0.814423
DP	0	33	2203	0.154174	2240	0.845762
DP	0	34	1975	0.138218	2409	0.909571
DP	0	35	1934	0.135349	2231	0.842364
DP	0	36	1700	0.118972	2107	0.795545
DP	0	37	1452	0.101616	1870	0.706060
DP	0	38	1290	0.090279	1941	0.732868
DP	0	39	1153	0.080691	1949	0.735888
DP	0	40	1270	0.088879	1868	0.705305
DP	0	41	1034	0.072363	1716	0.647914
DP	0	42	1033	0.072293	1640	0.619218
DP	0	43	911	0.063755	1661	0.627147
DP	0	44	844	0.059066	1582	0.597319
DP	0	45	784	0.054867	1622	0.612422
DP	0	46	637	0.044580	1478	0.558052
DP	0	47	645	0.045140	1555	0.587125
DP	0	48	592	0.041430	1449	0.547102
DP	0	49	556	0.038911	1460	0.551255
DP	0	50	595	0.041640	1390	0.524825
DP	0	51	515	0.036042	1265	0.477629
DP	0	52	522	0.036532	1395	0.526713
DP	0	53	453	0.031703	1226	0.462904
DP	0	54	381	0.026664	1246	0.470455
DP	0	55	382	0.026734	1238	0.467434
DP	0	56	359	0.025124	1144	0.431943
DP	0	57	330	0.023095	1119	0.422503
DP	0	58	324	0.022675	967	0.365112
DP	0	59	276	0.019316	894	0.337550
DP	0	60	289	0.020225	753	0.284312
DP	0	61	247	0.017286	778	0.293751
DP	0	62	217	0.015186	816	0.308099
DP	0	63	216	0.015117	864	0.326222
DP	0	64	210	0.014697	712	0.268831
DP	0	65	236	0.016516	710	0.268076
DP	0	66	213	0.014907	768	0.289975
DP	0	67	206	0.014417	659	0.248820
DP	0	68	176	0.012317	697	0.263168
DP	0	69	174	0.012177	614	0.231829
DP	0	70	121	0.008468	677	0.255616
DP	0	71	159	0.011127	542	0.204644
DP	0	72	130	0.009098	617	0.232962
DP	0	73	130	0.009098	522	0.197093
DP	0	74	111	0.007768	541	0.204267
DP	0	75	112	0.007838	639	0.241269
DP	0	76	92	0.006439	593	0.223900
DP	0	77	108	0.007558	511	0.192939
