QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0	22756	11364	10132	1049
QUAL	0	1	3603	1760	1672	195
QUAL	0	2	2515	1317	1084	160
QUAL	0	3	1861	925	845	101
QUAL	0	4	2096	1064	975	106
QUAL	0	5	1906	976	903	128
QUAL	0	6	2068	1084	940	94
QUAL	0	7	2342	1260	1042	128
QUAL	0	8	2346	1219	1092	117
QUAL	0	9	2216	1209	969	132
QUAL	0	10	2420	1313	1065	106
QUAL	0	11	1918	1003	870	90
QUAL	0	12	1817	988	796	99
QUAL	0	13	1938	1038	864	80
QUAL	0	14	2186	1193	957	90
QUAL	0	15	1828	950	843	102
QUAL	0	16	1751	934	784	86
QUAL	0	17	1407	743	616	58
QUAL	0	18	1314	705	575	66
QUAL	0	19	1278	682	554	73
QUAL	0	20	1680	907	721	95
QUAL	0	21	1334	664	630	72
QUAL	0	22	1229	632	552	66
QUAL	0	23	1284	655	593	62
QUAL	0	24	2201	1134	1030	90
QUAL	0	25	1142	577	528	92
QUAL	0	26	1489	833	627	64
QUAL	0	27	1260	656	574	69
QUAL	0	28	1206	624	537	72
QUAL	0	29	1562	876	645	144
QUAL	0	30	1427	733	651	58
QUAL	0	31	1000	511	443	45
QUAL	0	32	1013	524	450	58
QUAL	0	33	1098	572	491	55
QUAL	0	34	1065	532	493	55
QUAL	0	35	1141	586	525	56
QUAL	0	36	971	503	434	56
QUAL	0	37	1074	579	461	54
QUAL	0	38	983	528	404	61
QUAL	0	39	873	467	367	53
QUAL	0	40	887	477	378	48
QUAL	0	41	1167	600	524	74
QUAL	0	42	1338	657	632	74
QUAL	0	43	1039	570	427	59
QUAL	0	44	993	530	421	48
QUAL	0	45	1033	510	478	41
QUAL	0	46	1757	873	845	153
QUAL	0	47	1039	528	473	62
QUAL	0	48	1159	576	551	65
QUAL	0	49	1069	538	487	64
QUAL	0	50	6361	3317	2993	343
QUAL	0	51	1212	644	518	54
QUAL	0	52	925	492	387	82
QUAL	0	53	897	487	384	47
QUAL	0	54	762	392	330	47
QUAL	0	55	791	404	344	57
QUAL	0	56	1892	1017	837	86
QUAL	0	57	761	388	333	49
QUAL	0	58	625	301	278	46
QUAL	0	59	684	354	292	44
QUAL	0	60	849	460	346	50
QUAL	0	61	717	356	317	43
QUAL	0	62	739	350	356	53
QUAL	0	63	757	378	318	42
QUAL	0	64	688	329	317	29
QUAL	0	65	931	504	384	46
QUAL	0	66	725	380	309	51
QUAL	0	67	661	321	302	41
QUAL	0	68	734	358	343	38
QUAL	0	69	1008	519	455	74
QUAL	0	70	658	343	272	49
QUAL	0	71	725	382	316	38
QUAL	0	72	739	395	316	40
QUAL	0	73	2455	1292	1123	140
QUAL	0	74	700	361	300	37
QUAL	0	75	610	307	258	43
QUAL	0	76	651	328	283	53
QUAL	0	77	2194	1162	1003	98
QUAL	0	78	577	295	242	48
QUAL	0	79	714	360	309	48
QUAL	0	80	554	300	225	36
QUAL	0	81	579	291	255	34
QUAL	0	82	720	355	319	41
QUAL	0	83	885	478	376	52
QUAL	0	84	543	264	248	37
QUAL	0	85	626	298	276	33
QUAL	0	86	1309	729	542	59
QUAL	0	87	477	239	200	34
QUAL	0	88	566	269	255	43
QUAL	0	89	590	297	258	34
QUAL	0	90	476	206	232	41
QUAL	0	91	525	272	223	30
QUAL	0	92	494	245	209	34
QUAL	0	93	658	353	259	46
QUAL	0	94	529	271	228	20
QUAL	0	95	499	251	214	35
QUAL	0	96	629	307	282	50
QUAL	0	97	1236	622	573	65
QUAL	0	98	467	222	200	27
QUAL	0	99	493	215	231	36
QUAL	0	100	1232	621	561	76
QUAL	0	101	494	238	226	27
QUAL	0	102	423	234	152	25
QUAL	0	103	465	231	189	21
QUAL	0	104	987	495	452	49
QUAL	0	105	413	189	193	36
QUAL	0	106	414	199	177	29
QUAL	0	107	456	213	210	27
QUAL	0	108	594	288	268	36
QUAL	0	109	449	224	184	28
QUAL	0	110	371	173	160	18
QUAL	0	111	466	225	199	29
QUAL	0	112	664	302	327	33
QUAL	0	113	394	201	161	30
QUAL	0	114	392	164	183	24
QUAL	0	115	505	255	208	29
QUAL	0	116	833	423	380	43
QUAL	0	117	381	174	176	22
QUAL	0	118	380	168	179	20
QUAL	0	119	574	300	239	35
QUAL	0	120	890	468	389	47
QUAL	0	121	418	198	172	27
QUAL	0	122	354	181	149	22
QUAL	0	123	690	350	304	35
QUAL	0	124	421	205	185	27
QUAL	0	125	335	170	129	22
QUAL	0	126	363	182	149	24
QUAL	0	127	610	320	255	28
QUAL	0	128	357	167	157	27
QUAL	0	129	351	159	161	26
QUAL	0	130	327	158	133	27
QUAL	0	131	494	282	183	26
QUAL	0	132	327	166	137	19
QUAL	0	133	328	156	144	13
QUAL	0	134	335	173	133	24
QUAL	0	135	334	153	148	24
QUAL	0	136	367	181	148	22
QUAL	0	137	378	191	166	15
QUAL	0	138	289	149	112	22
QUAL	0	139	371	202	128	23
QUAL	0	140	451	230	186	34
QUAL	0	141	399	180	192	16
QUAL	0	142	298	149	123	20
QUAL	0	143	768	423	315	50
QUAL	0	144	322	160	139	15
QUAL	0	145	351	192	126	23
QUAL	0	146	329	166	130	26
QUAL	0	147	590	305	262	26
QUAL	0	148	249	108	104	17
QUAL	0	149	268	143	91	11
QUAL	0	150	442	216	195	20
QUAL	0	151	382	190	158	14
QUAL	0	152	236	113	87	17
QUAL	0	153	257	123	104	23
QUAL	0	154	397	202	150	28
QUAL	0	155	284	128	131	15
QUAL	0	156	228	104	91	12
QUAL	0	157	233	109	92	12
QUAL	0	158	324	164	129	11
QUAL	0	159	273	140	105	18
QUAL	0	160	244	118	91	22
QUAL	0	161	218	95	97	19
QUAL	0	162	315	163	130	12
QUAL	0	163	271	144	100	25
QUAL	0	164	263	145	96	18
QUAL	0	165	254	134	96	16
QUAL	0	166	351	169	151	25
QUAL	0	167	521	231	265	22
QUAL	0	168	211	92	93	13
QUAL	0	169	249	127	101	13
QUAL	0	170	442	208	209	25
QUAL	0	171	222	120	72	15
QUAL	0	172	229	94	112	12
QUAL	0	173	287	145	114	15
QUAL	0	174	406	178	195	12
QUAL	0	175	203	87	86	13
QUAL	0	176	263	121	116	14
QUAL	0	177	322	151	143	21
QUAL	0	178	288	148	104	13
QUAL	0	179	210	104	78	14
