IDD	[2]id	[3]length (deletions negative)	[4]count
IDD	0	-28	1
IDD	0	-27	1
IDD	0	-26	3
IDD	0	-25	3
IDD	0	-24	2
IDD	0	-23	2
IDD	0	-22	4
IDD	0	-21	7
IDD	0	-20	1
IDD	0	-19	6
IDD	0	-18	9
IDD	0	-17	12
IDD	0	-16	9
IDD	0	-15	8
IDD	0	-14	29
IDD	0	-13	18
IDD	0	-12	29
IDD	0	-11	22
IDD	0	-10	56
IDD	0	-9	63
IDD	0	-8	71
IDD	0	-7	82
IDD	0	-6	146
IDD	0	-5	149
IDD	0	-4	217
IDD	0	-3	254
IDD	0	-2	423
IDD	0	-1	1255
IDD	0	1	1128
IDD	0	2	291
IDD	0	3	181
IDD	0	4	121
IDD	0	5	52
IDD	0	6	65
IDD	0	7	24
IDD	0	8	18
IDD	0	9	20
IDD	0	10	20
IDD	0	11	10
IDD	0	12	11
IDD	0	13	3
IDD	0	14	8
IDD	0	15	5
IDD	0	16	2
IDD	0	17	3
IDD	0	18	2
IDD	0	19	2
IDD	0	20	1
IDD	0	22	1
