QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	0	227	99	124	20
QUAL	0	1	9	4	5	2
QUAL	0	2	15	7	8	1
QUAL	0	3	7	4	3	2
QUAL	0	4	8	2	6	0
QUAL	0	5	11	5	6	2
QUAL	0	6	7	2	5	1
QUAL	0	7	9	3	6	0
QUAL	0	8	6	3	3	2
QUAL	0	9	7	3	4	1
QUAL	0	10	8	4	4	0
QUAL	0	11	8	3	5	2
QUAL	0	12	8	2	6	0
QUAL	0	13	7	3	3	0
QUAL	0	14	8	6	2	0
QUAL	0	15	7	3	3	4
QUAL	0	16	6	3	3	0
QUAL	0	17	11	5	6	5
QUAL	0	18	14	8	6	2
QUAL	0	19	9	5	4	2
QUAL	0	20	15	9	5	1
QUAL	0	21	9	5	3	1
QUAL	0	22	20	8	11	2
QUAL	0	23	18	9	8	3
QUAL	0	24	25	11	13	2
QUAL	0	25	20	9	10	3
QUAL	0	26	14	5	7	4
QUAL	0	27	20	7	11	6
QUAL	0	28	34	20	14	1
QUAL	0	29	23	8	15	4
QUAL	0	30	23	12	9	3
QUAL	0	31	22	8	14	4
QUAL	0	32	29	15	14	2
QUAL	0	33	28	12	14	8
QUAL	0	34	22	7	13	5
QUAL	0	35	22	10	10	1
QUAL	0	36	56	35	21	4
QUAL	0	37	41	20	20	1
QUAL	0	38	42	22	18	2
QUAL	0	39	47	24	22	10
QUAL	0	40	63	35	28	9
QUAL	0	41	38	15	23	4
QUAL	0	42	43	20	23	2
QUAL	0	43	54	22	31	2
QUAL	0	44	75	41	31	4
QUAL	0	45	44	15	28	6
QUAL	0	46	58	30	27	2
QUAL	0	47	59	31	27	3
QUAL	0	48	63	23	36	6
QUAL	0	49	19	4	14	7
QUAL	0	50	26	17	9	8
QUAL	0	51	30	20	10	3
QUAL	0	52	22	12	9	2
QUAL	0	53	26	16	8	3
QUAL	0	54	38	15	22	6
QUAL	0	55	22	11	10	1
QUAL	0	56	25	13	10	3
QUAL	0	57	17	9	7	4
QUAL	0	58	30	16	13	4
QUAL	0	59	28	15	13	3
QUAL	0	60	36	18	18	5
QUAL	0	61	36	12	22	9
QUAL	0	62	42	16	26	5
QUAL	0	63	33	19	13	3
QUAL	0	64	39	21	17	7
QUAL	0	65	32	17	13	2
QUAL	0	66	47	25	21	4
QUAL	0	67	46	24	22	2
QUAL	0	68	44	23	21	8
QUAL	0	69	33	19	12	1
QUAL	0	70	46	24	19	3
QUAL	0	71	53	22	29	4
QUAL	0	72	64	31	28	9
QUAL	0	73	35	15	20	6
QUAL	0	74	35	19	16	2
QUAL	0	75	54	26	25	5
QUAL	0	76	26	12	14	5
QUAL	0	77	26	12	13	3
QUAL	0	78	32	16	14	4
QUAL	0	79	23	9	12	4
QUAL	0	80	26	12	14	2
QUAL	0	81	24	9	15	2
QUAL	0	82	19	8	10	4
QUAL	0	83	19	7	11	2
QUAL	0	84	33	20	13	6
QUAL	0	85	24	11	13	2
QUAL	0	86	30	7	22	7
QUAL	0	87	35	16	19	5
QUAL	0	88	29	11	18	3
QUAL	0	89	33	15	18	4
QUAL	0	90	47	33	12	4
QUAL	0	91	38	20	17	8
QUAL	0	92	45	24	21	4
QUAL	0	93	32	17	15	4
QUAL	0	94	36	20	15	2
QUAL	0	95	43	22	20	5
QUAL	0	96	40	22	18	5
QUAL	0	97	37	19	18	2
QUAL	0	98	40	15	25	7
QUAL	0	99	45	18	26	3
