n_snps,M1_loci,M1,M2_loci,M2,M3_loci,M3,M4_loci,M4,M5_loci,M5,M6_loci,M6,M7_loci,M7,M8_loci,M8,M9_loci,M9
0,1351,0.186344828,1057,0.121243404,959,0.100324302,914,0.090512973,889,0.085431482,874,0.082390649,859,0.079929283,848,0.078569443,845,0.078168363
1,2415,0.333103448,1612,0.184904795,1425,0.149074171,1352,0.133887899,1316,0.126465501,1269,0.119626697,1243,0.115660184,1232,0.114148059,1215,0.11239593
2,1925,0.265517241,1916,0.219775178,1604,0.167799979,1497,0.148247178,1437,0.138093408,1397,0.131693062,1378,0.128221829,1365,0.126470861,1346,0.124514339
3,1028,0.141793103,1668,0.191328286,1593,0.166649231,1426,0.141216082,1349,0.129636748,1304,0.122926094,1281,0.119196055,1267,0.117390902,1249,0.115541166
4,353,0.048689655,1127,0.129272769,1352,0.141437389,1303,0.129035453,1224,0.117624447,1186,0.111802413,1162,0.108123197,1144,0.105994626,1122,0.103792784
5,136,0.018758621,701,0.080408351,1068,0.111727168,1197,0.118538324,1170,0.112435134,1112,0.104826546,1089,0.101330604,1062,0.098397109,1045,0.09666975
6,33,0.004551724,348,0.039917412,652,0.068207972,839,0.08308576,905,0.086969056,892,0.084087481,857,0.079743184,836,0.077457611,826,0.076410731
7,5,0.000689655,175,0.020073411,421,0.044042264,586,0.058031293,688,0.066115702,725,0.068344646,732,0.068112031,708,0.065598073,694,0.064199815
8,2,0.000275862,75,0.008602891,249,0.02604875,408,0.04040404,519,0.049875072,586,0.055241327,598,0.055643435,596,0.055220977,584,0.054024052
9,2,0.000275862,27,0.003097041,124,0.012972068,246,0.02436126,354,0.034018835,437,0.041195324,499,0.046431562,493,0.045677754,501,0.046345976
10+,0,0,12,0.001376462,112,0.011716707,330,0.032679739,555,0.053334615,826,0.077865762,1049,0.097608635,1242,0.115074585,1383,0.127937095
